NM_CANDIDATO,Partido,NM_UE,Estado,total
CLÁUDIO ALEXANDRE RODRIGUES DE OLIVEIR,PT,CONCEIÇÃO DO MATO DENTRO,MG,292148.0
ALUIZIO DOS SANTOS JUNIOR,PDT,MACAÉ,RJ,291280.0
MARCO AURELIO SOARES ALBA,MDB,GRAVATAÍ,RS,290286.0
ZENILDO BRANDÃO SANTANA,PP,JEQUIÉ,BA,290150.43
BRUNO JOSÉ ALMEIDA E SILVA,PP,COELHO NETO,MA,290149.38
EERIZANIA ENEAS DE FREITAS,UNIÃO,ANÁPOLIS,GO,289750.0
CARLOS MILTON MENDONCA TOURINHO JUNIOR,MDB,CAPELA,SE,288928.26
JOÃO HENRIQUE PINHEIRO,PRTB,MARÍLIA,SP,288494.64
PAULO JOAQUIM DE SOUZA,PSD,BARRA,BA,288091.15
ELTON ALVES RIBEIRO DE CARVALHO JÚNIOR,UNIÃO,SÃO JOSÉ DOS CAMPOS,SP,286275.0
LEONARDO ANTONIO ABRANTES,PSB,ANCHIETA,ES,285288.3
JOAQUIM NETO DE ANDRADE SILVA,PSDB,GRAVATÁ,PE,284928.9
ARTUR SÉRGIO DE ALMEIDA REIS,PSD,LAGARTO,SE,284343.0
CARLA GONÇALVEZ REZENDE,UNIÃO,ARIQUEMES,RO,283204.85
JEFERSON RODRIGO BRUN,REPUBLICANOS,ITAPETININGA,SP,278947.0
MOSABELLE RODRIGUES BRASILEIRO MONTEIRO,REPUBLICANOS,PALMEIRA DOS ÍNDIOS,AL,278850.0
LUCIA ELISABETH COLOMBO SILVEIRA,REPUBLICANOS,CANOAS,RS,278032.18
